date,skill_name,region,interest
18861,sql,US,17
18868,sql,US,17
18875,sql,US,15
18882,sql,US,17
18889,sql,US,18
18896,sql,US,18
18903,sql,US,18
18910,sql,US,17
18917,sql,US,18
18924,sql,US,16
18931,sql,US,16
18938,sql,US,17
18945,sql,US,17
18952,sql,US,11
18959,sql,US,16
18966,sql,US,16
18973,sql,US,17
18980,sql,US,11
18987,sql,US,8
18994,sql,US,16
19001,sql,US,19
19008,sql,US,17
19015,sql,US,20
19022,sql,US,20
19029,sql,US,22
19036,sql,US,21
19043,sql,US,20
19050,sql,US,21
19057,sql,US,20
19064,sql,US,20
19071,sql,US,20
19078,sql,US,20
19085,sql,US,22
19092,sql,US,20
19099,sql,US,20
19106,sql,US,20
19113,sql,US,20
19120,sql,US,21
19127,sql,US,19
19134,sql,US,19
19141,sql,US,17
19148,sql,US,20
19155,sql,US,20
19162,sql,US,19
19169,sql,US,19
19176,sql,US,17
19183,sql,US,21
19190,sql,US,21
19197,sql,US,20
19204,sql,US,20
19211,sql,US,20
19218,sql,US,21
19225,sql,US,20
19232,sql,US,19
19239,sql,US,17
19246,sql,US,20
19253,sql,US,21
19260,sql,US,20
19267,sql,US,20
19274,sql,US,20
19281,sql,US,21
19288,sql,US,20
19295,sql,US,19
19302,sql,US,19
19309,sql,US,21
19316,sql,US,13
19323,sql,US,18
19330,sql,US,20
19337,sql,US,19
19344,sql,US,14
19351,sql,US,10
19358,sql,US,15
19365,sql,US,19
19372,sql,US,17
19379,sql,US,21
19386,sql,US,21
19393,sql,US,22
19400,sql,US,22
19407,sql,US,19
19414,sql,US,21
19421,sql,US,20
19428,sql,US,20
19435,sql,US,20
19442,sql,US,20
19449,sql,US,20
19456,sql,US,20
19463,sql,US,20
19470,sql,US,19
19477,sql,US,18
19484,sql,US,19
19491,sql,US,19
19498,sql,US,18
19505,sql,US,16
19512,sql,US,18
19519,sql,US,18
19526,sql,US,18
19533,sql,US,19
19540,sql,US,15
19547,sql,US,20
19554,sql,US,19
19561,sql,US,19
19568,sql,US,19
19575,sql,US,19
19582,sql,US,18
19589,sql,US,19
19596,sql,US,17
19603,sql,US,16
19610,sql,US,19
19617,sql,US,18
19624,sql,US,18
19631,sql,US,18
19638,sql,US,19
19645,sql,US,18
19652,sql,US,18
19659,sql,US,18
19666,sql,US,17
19673,sql,US,17
19680,sql,US,11
19687,sql,US,16
19694,sql,US,18
19701,sql,US,17
19708,sql,US,14
19715,sql,US,8
19722,sql,US,12
19729,sql,US,17
19736,sql,US,15
19743,sql,US,17
19750,sql,US,20
19757,sql,US,19
19764,sql,US,18
19771,sql,US,19
19778,sql,US,18
19785,sql,US,18
19792,sql,US,18
19799,sql,US,18
19806,sql,US,18
19813,sql,US,18
19820,sql,US,17
19827,sql,US,18
19834,sql,US,18
19841,sql,US,18
19848,sql,US,17
19855,sql,US,17
19862,sql,US,17
19869,sql,US,15
19876,sql,US,18
19883,sql,US,18
19890,sql,US,15
19897,sql,US,17
19904,sql,US,13
19911,sql,US,17
19918,sql,US,16
19925,sql,US,17
19932,sql,US,16
19939,sql,US,15
19946,sql,US,16
19953,sql,US,16
19960,sql,US,15
19967,sql,US,14
19974,sql,US,16
19981,sql,US,16
19988,sql,US,15
19995,sql,US,15
20002,sql,US,15
20009,sql,US,15
20016,sql,US,16
20023,sql,US,14
20030,sql,US,14
20037,sql,US,14
20044,sql,US,15
20051,sql,US,10
20058,sql,US,14
20065,sql,US,15
20072,sql,US,13
20079,sql,US,6
20086,sql,US,9
20093,sql,US,14
20100,sql,US,15
20107,sql,US,13
20114,sql,US,15
