Category: Programming

Week,Python: (United States),SQL: (United States),Tableau: (United States),RStudio: (United States)
2024-08-04,61,15,1,<1
2024-08-11,63,16,1,<1
2024-08-18,63,16,1,<1
2024-08-25,66,15,1,<1
2024-09-01,63,14,1,<1
2024-09-08,73,16,1,<1
2024-09-15,74,16,1,0
2024-09-22,75,15,1,<1
2024-09-29,71,15,1,<1
2024-10-06,70,15,1,<1
2024-10-13,69,15,1,<1
2024-10-20,72,16,1,0
2024-10-27,67,14,1,<1
2024-11-03,60,14,1,<1
2024-11-10,63,14,1,<1
2024-11-17,67,15,1,<1
2024-11-24,43,10,1,0
2024-12-01,66,14,1,0
2024-12-08,61,15,1,0
2024-12-15,50,13,1,0
2024-12-22,34,6,<1,0
2024-12-29,37,9,<1,0
2025-01-05,58,14,1,<1
2025-01-12,62,15,1,<1
2025-01-19,63,13,1,<1
2025-01-26,70,15,1,<1
2025-02-02,72,15,1,<1
2025-02-09,71,16,1,<1
2025-02-16,69,14,1,<1
2025-02-23,72,14,1,<1
2025-03-02,66,15,1,0
2025-03-09,65,15,1,0
2025-03-16,61,14,1,<1
2025-03-23,59,13,1,0
2025-03-30,58,14,1,0
2025-04-06,61,14,1,0
2025-04-13,57,13,1,0
2025-04-20,61,14,1,<1
2025-04-27,52,13,1,0
2025-05-04,52,13,1,0
2025-05-11,49,13,1,0
2025-05-18,54,13,1,0
2025-05-25,46,10,1,0
2025-06-01,49,13,1,0
2025-06-08,52,12,1,0
2025-06-15,46,12,1,0
2025-06-22,47,13,1,0
2025-06-29,42,10,1,0
2025-07-06,48,11,1,0
2025-07-13,50,12,1,0
2025-07-20,46,12,1,0
2025-07-27,45,11,1,0
2025-08-03,47,12,1,0
2025-08-10,48,12,1,0
2025-08-17,45,12,1,<1
2025-08-24,44,11,1,0
2025-08-31,47,10,1,<1
2025-09-07,54,11,1,0
2025-09-14,55,11,1,<1
2025-09-21,57,11,1,<1
2025-09-28,59,12,1,<1
2025-10-05,57,12,1,<1
2025-10-12,52,11,1,<1
